id,pokedex_no,P_name,forme,hidden_ability,description1,description2,class,percent_female,pre-evolution
789,789,Cosmog,Cosmog,Unaware,Its body is gaseous and frail. It slowly grows as it collects dust from the atmosphere.,"In ages past, it was called the child of the stars. It’s said to be a Pokémon from another world, but no specific details are known.",Nebula Pokémon,,
790,790,Cosmoem,Cosmoem,Sturdy,"Motionless as if dead, its body is faintly warm to the touch. In the distant past, it was called the cocoon of the stars.",There’s something accumulating around the black core within its hard shell. People think this Pokémon may come from another world.,Protostar Pokémon,,Cosmog
791,791,Solgaleo,Solgaleo,Full Metal Body,It is said to live in another world. The intense light it radiates from the surface of its body can make the darkest of nights light up like midday.,"This Pokémon is said to be a male evolution of Cosmog. At the activation of its third eye, it departs for another world.",Sunne Pokémon,,Cosmoem
792,792,Lunala,Lunala,Shadow Shield,"It is said to be a female evolution of Cosmog. When its third eye activates, away it flies to another world.","Said to live in another world, this Pokémon devours light, drawing the moonless dark veil of night over the brightness of day.",Moone Pokémon,,Cosmoem
793,793,Nihilego,Nihilego,Beast Boost,One of several mysterious Ultra Beasts. People on the street report observing those infested by it suddenly becoming violent.,"One of the Ultra Beasts. It’s unclear whether or not this Pokémon is sentient, but sometimes it can be observed behaving like a young girl.",Parasite Pokémon,,
794,794,Buzzwole,Buzzwole,Beast Boost,"This Ultra Beast appeared from another world. It shows off its body, but whether that display is a boast or a threat remains unclear.",A mysterious life-form called an Ultra Beast. Witnesses saw it pulverize a dump truck with a single punch.,Swollen Pokémon,,
795,795,Pheromosa,Pheromosa,Beast Boost,"One of the dangerous Ultra Beasts, it has been spotted running across the land at terrific speeds.","One of the Ultra Beasts. It refuses to touch anything, perhaps because it senses some uncleanness in this world.",Lissome Pokémon,,
796,796,Xurkitree,Xurkitree,Beast Boost,"One of the mysterious life-forms known as Ultra Beasts. Astonishing electric shocks emanate from its entire body, according to witnesses.","It appeared from the Ultra Wormhole. It raided a power plant, so people think it energizes itself with electricity.",Glowing Pokémon,,
797,797,Celesteela,Celesteela,Beast Boost,It appeared from the Ultra Wormhole. Witnesses observed it flying across the sky at high speed.,One kind of Ultra Beast. Witnesses have seen it burn down a forest by expelling gas from its two arms.,Launch Pokémon,,
798,798,Kartana,Kartana,Beast Boost,"This Ultra Beast came from the Ultra Wormhole. It seems not to attack enemies on its own, but its sharp body is a dangerous weapon in itself.","One of the Ultra Beast life-forms, it was observed cutting down a gigantic steel tower with one stroke of its blade.",Drawn Sword Pokémon,,
799,799,Guzzlord,Guzzlord,Beast Boost,"It has gobbled mountains and swallowed whole buildings, according to reports. It’s one of the Ultra Beasts.","A dangerous Ultra Beast, it appears to be eating constantly, but for some reason its droppings have never been found.",Junkivore Pokémon,,
800,800,Necrozma,Necrozma,Prism Armor,"Reminiscent of the Ultra Beasts, this life-form, apparently asleep underground, is thought to have come from another world in ancient times.",Light is apparently the source of its energy. It has an extraordinarily vicious disposition and is constantly firing off laser beams.,Prism Pokémon,,
801,801,Magearna,Magearna,Soul-Heart,"This artificial Pokémon, constructed more than 500 years ago, can understand human speech but cannot itself speak.","Its mechanized body is merely a vessel. Its true self is its Soul-Heart, an artificial soul.",Artificial Pokémon,,
802,802,Marshadow,Marshadow,Technician,"Able to conceal itself in shadows, it never appears before humans, so its very existence was the stuff of myth.","It lurks in the shadows of others, copying their movements and powers. This Pokémon is craven and cowering.",Gloomdweller Pokémon,,
804,3,Venusaur,Venusaur (Mega Venusaur),,,,Seed Pokémon,0.125,Ivysaur
805,6,Charizard,Charizard (Mega Charizard X),,,,Flame Pokémon,0.125,Charmeleon
806,6,Charizard,Charizard (Mega Charizard Y),,,,Flame Pokémon,0.125,Charmeleon
807,9,Blastoise,Blastoise (Mega Blastoise),,,,Shellfish Pokémon,0.125,Wartortle
808,15,Beedrill,Beedrill (Mega Beedrill),Adaptability,,,Poison Bee Pokémon,0.5,Kakuna
809,18,Pidgeot,Pidgeot (Mega Pidgeot),No Guard,,,Bird Pokémon,0.5,Pidgeotto
810,19,Rattata,Rattata (Alola Form),Thick Fat,"With its incisors, it gnaws through doors and infiltrates people’s homes. Then, with a twitch of its whiskers, it steals whatever food it finds.","When the sun goes down, it becomes active. It runs around town on a chase for good food for the boss of its nest—Raticate.",Mouse Pokémon,0.5,
811,20,Raticate,Raticate (Alola Form),Thick Fat,"It forms a group of Rattata, which it assumes command of. Each group has its own territory, and disputes over food happen often.",This gourmet Pokémon is particular about the taste and freshness of its food. Restaurants where Raticate live have a good reputation.,Mouse Pokémon,0.5,Rattata
812,20,Raticate,Raticate (1),Thick Fat,,,Mouse Pokémon,0.5,
813,25,Pikachu,Pikachu (Original Cap),Lightning Rod,"This form of Pikachu is somewhat rare. It wears the hat of its Trainer, who is also its partner.","This Pikachu is wearing its Trainer’s cap. Since the cap’s not the right size, the fit is a bit loose.",Mouse Pokémon,0.0,
814,25,Pikachu,Pikachu (Hoenn Cap),Lightning Rod,"This form of Pikachu is somewhat rare. It wears the hat of its Trainer, who is also its partner.","This Pikachu is wearing its Trainer’s cap. Since the cap’s not the right size, the fit is a bit loose.",Mouse Pokémon,0.0,
815,25,Pikachu,Pikachu (Sinnoh Cap),Lightning Rod,"This form of Pikachu is somewhat rare. It wears the hat of its Trainer, who is also its partner.","This Pikachu is wearing its Trainer’s cap. Since the cap’s not the right size, the fit is a bit loose.",Mouse Pokémon,0.0,
816,25,Pikachu,Pikachu (Unova Cap),Lightning Rod,"This form of Pikachu is somewhat rare. It wears the hat of its Trainer, who is also its partner.","This Pikachu is wearing its Trainer’s cap. Since the cap’s not the right size, the fit is a bit loose.",Mouse Pokémon,0.0,
817,25,Pikachu,Pikachu (Kalos Cap),Lightning Rod,"This form of Pikachu is somewhat rare. It wears the hat of its Trainer, who is also its partner.","This Pikachu is wearing its Trainer’s cap. Since the cap’s not the right size, the fit is a bit loose.",Mouse Pokémon,0.0,
818,25,Pikachu,Pikachu (Alola Cap),Lightning Rod,"This form of Pikachu is somewhat rare. It wears the hat of its Trainer, who is also its partner.","This Pikachu is wearing its Trainer’s cap. Since the cap’s not the right size, the fit is a bit loose.",Mouse Pokémon,0.0,
819,26,Raichu,Raichu (Alola Form),Surge Surfer,"It only evolves to this form in the Alola region. According to researchers, its diet is one of the causes of this change.","It uses psychokinesis to control electricity. It hops aboard its own tail, using psychic power to lift the tail and move about while riding it.",Mouse Pokémon,0.5,Pikachu
820,27,Sandshrew,Sandshrew (Alola Form),Slush Rush,"It lives on snowy mountains. Its steel shell is very hard—so much so, it can’t roll its body up into a ball.","An ancient tradition of Alolan festivals, still carried on to this day, is a competition to slide Sandshrew across ice as far as one can.",Mouse Pokémon,0.5,
821,28,Sandslash,Sandslash (Alola Form),Slush Rush,"Fleeing a volcanic eruption, it settled on a snowy mountain. As it races through the snowfields, it sends up a spray of snow.",This Pokémon’s steel spikes are sheathed in ice. Stabs from these spikes cause deep wounds and severe frostbite as well.,Mouse Pokémon,0.5,Sandshrew (Alola Form)
822,37,Vulpix,Vulpix (Alola Form),Snow Warning,It exhales air colder than -58 degrees Fahrenheit. Elderly people in Alola call this Pokémon by an older name—Keokeo.,"In hot weather, this Pokémon makes ice shards with its six tails and sprays them around to cool itself off.",Fox Pokémon,0.75,
823,38,Ninetales,Ninetales (Alola Form),Snow Warning,It creates drops of ice in its coat and showers them over its enemies. Anyone who angers it will be frozen stiff in an instant.,"Possessing a calm demeanor, this Pokémon was revered as a deity incarnate before it was identified as a regional variant of Ninetales.",Fox Pokémon,0.75,Vulpix (Alola Form)
824,50,Diglett,Diglett (Alola Form),Sand Force,"Its head sports an altered form of whiskers made of metal. When in communication with its comrades, its whiskers wobble to and fro.",Its golden hairs function as sensors. It pokes them out of its burrow to monitor its surroundings.,Mole Pokémon,0.5,
825,51,Dugtrio,Dugtrio (Alola Form),Sand Force,Its shining gold hair provides it with protection. It’s reputed that keeping any of its fallen hairs will bring bad luck.,"These Pokémon are cherished in the Alola region, where they are thought to be feminine deities of the land incarnate.",Mole Pokémon,0.5,Diglett (Alola Form)
826,52,Meowth,Meowth (Alola Form),Rattled,"This Pokémon was not originally found in Alola. Human actions caused a surge in their numbers, and they went feral. They’re prideful and crafty.","When its delicate pride is wounded, or when the gold coin on its forehead is dirtied, it flies into a hysterical rage.",Scratch Cat Pokémon,0.5,
827,53,Persian,Persian (Alola Form),Rattled,Its round face and smooth coat—softer than the most high-class velvet—have made this a very popular Pokémon in Alola.,It looks down on everyone other than itself. Its preferred tactics are sucker punches and blindside attacks.,Classy Cat Pokémon,0.5,Meowth (Alola Form)
828,65,Alakazam,Alakazam (Mega Alakazam),,"As a result of Mega Evolution, its power has been entirely converted into psychic energy, and it has lost all strength in its muscles.","Its hidden psychic power has been unleashed. A glance at someone gives it knowledge of the course of that person’s life, from birth to death.",Psi Pokémon,0.25,Kadabra
829,74,Geodude,Geodude (Alola Form),Galvanize,Its body is a magnetic stone. Iron sand attaches firmly to the portions of its body that are particularly magnetic.,"If you accidentally step on a Geodude sleeping on the ground, you’ll hear a crunching sound and feel a shock ripple through your entire body.",Rock Pokémon,0.5,
830,75,Graveler,Graveler (Alola Form),Galvanize,"Its preferred food is dravite. After it has eaten this mineral, crystals form inside the Pokémon, rising to the surface of part of its body.",They eat rocks and often get into a scrap over them. The shock of Graveler smashing together causes a flash of light and a booming noise.,Rock Pokémon,0.5,Geodude (Alola Form)
831,76,Golem,Golem (Alola Form),Galvanize,"It fires rocks charged with electricity. Even if the rock isn’t fired that accurately, just grazing an opponent will cause numbness and fainting.","Because it can’t fire boulders at a rapid pace, it’s been known to seize nearby Geodude and fire them from its back.",Megaton Pokémon,0.5,Graveler (Alola Form)
832,80,Slowbro,Slowbro (Mega Slowbro),,"All the energy from Mega Evolution poured into the Shellder on its tail, leaving Slowpoke to be swallowed whole.","When bathed in the energy of Mega Evolution, Shellder converts into impregnable armor. There is virtually no change in Slowpoke.",Hermit Crab Pokémon,0.5,Slowpoke
833,88,Grimer,Grimer (Alola Form),Power of Alchemy,"A Grimer, which had been brought in to solve a problem with garbage, developed over time into this form.","The crystals on Grimer’s body are lumps of toxins. If one falls off, lethal poisons leak out.",Sludge Pokémon,0.5,
834,89,Muk,Muk (Alola Form),Power of Alchemy,"The garbage it eats causes continuous chemical changes in its body, which produce its exceedingly vivid coloration.","While it’s unexpectedly quiet and friendly, if it’s not fed any trash for a while, it will smash its Trainer’s furnishings and eat up the fragments.",Sludge Pokémon,0.5,Grimer
835,94,Gengar,Gengar (Mega Gengar),,Gengar’s relationships are warped. It has no interest in opponents unless it perceives them as prey.,"The energy of Mega Evolution awakened it. It sinks into another dimension, where it keeps a patient watch for its chance to attack.",Shadow Pokémon,0.5,Haunter
836,103,Exeggutor,Exeggutor (Alola Form),Harvest,"Alola is the best environment for this Pokémon. Local people take pride in its appearance, saying this is how Exeggutor ought to look.","As it grew taller and taller, it outgrew its reliance on psychic powers, while within it awakened the power of the sleeping dragon.",Coconut Pokémon,0.5,Exeggcute
837,105,Marowak,Marowak (Alola Form),Rock Head,The bones it possesses were once its mother’s. Its mother’s regrets have become like a vengeful spirit protecting this Pokémon.,Its custom is to mourn its lost companions. Mounds of dirt by the side of the road mark the graves of the Marowak.,Bone Keeper Pokémon,0.5,Cubone
838,115,Kangaskhan,Kangaskhan (Mega Kangaskhan),,Mega Kangaskhan’s strength derives from the mother’s happiness about her child’s growth. Watching it grow up keeps her spirits high.,"Thanks to Mega Evolution, its child grows. But as the child is good only at fighting and nothing else, its mother feels uneasy about its future.",Parent Pokémon,1.0,
839,127,Pinsir,Pinsir (Mega Pinsir),,The influence of Mega Evolution leaves it in a state of constant excitement. It pierces enemies with its two large horns before shredding them.,"Bathed in the energy of Mega Evolution, its wings become unusually developed. It flies at speeds of approximately 30 mph.",Stag Beetle Pokémon,0.5,
840,130,Gyarados,Gyarados (Mega Gyarados),,"Mega Evolution also affects its brain, leaving no other function except its destructive instinct to burn everything to cinders.","It jets water from the orifices on its sides, streaking above the water surface at supersonic speed.",Atrocious Pokémon,0.5,Magikarp
841,142,Aerodactyl,Aerodactyl (Mega Aerodactyl),,Part of its body has become stone. Some scholars claim that this is Aerodactyl’s true appearance.,"When it Mega Evolves, it becomes more vicious than ever before. Some say that’s because its excess of power is causing it pain.",Fossil Pokémon,0.125,
842,150,Mewtwo,Mewtwo (Mega Mewtwo X),,,,Genetic Pokémon,,
843,150,Mewtwo,Mewtwo (Mega Mewtwo Y),,,,Genetic Pokémon,,
844,181,Ampharos,Ampharos (Mega Ampharos),,,,Light Pokémon,0.5,Flaaffy
845,201,Unown,Unown (One form),,,,Symbol Pokémon,,
846,201,Unown,Unown (One form),,,,Symbol Pokémon,,
847,201,Unown,Unown (One form),,,,Symbol Pokémon,,
848,201,Unown,Unown (One form),,,,Symbol Pokémon,,
849,201,Unown,Unown (One form),,,,Symbol Pokémon,,
850,201,Unown,Unown (One form),,,,Symbol Pokémon,,
851,201,Unown,Unown (One form),,,,Symbol Pokémon,,
852,201,Unown,Unown (One form),,,,Symbol Pokémon,,
853,201,Unown,Unown (One form),,,,Symbol Pokémon,,
854,201,Unown,Unown (One form),,,,Symbol Pokémon,,
855,201,Unown,Unown (One form),,,,Symbol Pokémon,,
856,201,Unown,Unown (One form),,,,Symbol Pokémon,,
857,201,Unown,Unown (One form),,,,Symbol Pokémon,,
858,201,Unown,Unown (One form),,,,Symbol Pokémon,,
859,201,Unown,Unown (One form),,,,Symbol Pokémon,,
860,201,Unown,Unown (One form),,,,Symbol Pokémon,,
861,201,Unown,Unown (One form),,,,Symbol Pokémon,,
862,201,Unown,Unown (One form),,,,Symbol Pokémon,,
863,201,Unown,Unown (One form),,,,Symbol Pokémon,,
864,201,Unown,Unown (One form),,,,Symbol Pokémon,,
865,201,Unown,Unown (One form),,,,Symbol Pokémon,,
866,201,Unown,Unown (One form),,,,Symbol Pokémon,,
867,201,Unown,Unown (One form),,,,Symbol Pokémon,,
868,201,Unown,Unown (One form),,,,Symbol Pokémon,,
869,201,Unown,Unown (One form),,,,Symbol Pokémon,,
870,201,Unown,Unown (One form),,,,Symbol Pokémon,,
871,201,Unown,Unown (One form),,,,Symbol Pokémon,,
872,208,Steelix,Steelix (Mega Steelix),,,,Iron Snake Pokémon,0.5,Onix
873,212,Scizor,Scizor (Mega Scizor),,The excess energy that bathes this Pokémon keeps it in constant danger of overflow. It can’t sustain a battle over long periods of time.,"Due to the effects of Mega Evolution, its pincers have taken on a more diabolical form, ripping anything they pinch to shreds.",Pincer Pokémon,0.5,Scyther
874,214,Heracross,Heracross (Mega Heracross),,,,Single Horn Pokémon,0.5,
875,229,Houndoom,Houndoom (Mega Houndoom),,,,Dark Pokémon,0.5,Houndour
876,248,Tyranitar,Tyranitar (Mega Tyranitar),,,,Armor Pokémon,0.5,Pupitar
877,254,Sceptile,Sceptile (Mega Sceptile),,,,Forest Pokémon,0.125,Grovyle
878,257,Blaziken,Blaziken (Mega Blaziken),,,,Blaze Pokémon,0.125,Combusken
879,260,Swampert,Swampert (Mega Swampert),,,,Mud Fish Pokémon,0.125,Marshtomp
880,282,Gardevoir,Gardevoir (Mega Gardevoir),,,,Embrace Pokémon,0.5,Kirlia
881,302,Sableye,Sableye (Mega Sableye),,"The jewel from its chest, which has grown gigantic due to the effects of Mega Evolution, can turn back any attack.","Supporting a giant heavy jewel, it can’t change direction very nimbly and is vulnerable to attack from behind.",Darkness Pokémon,0.5,
882,303,Mawile,Mawile (Mega Mawile),,,,Deceiver Pokémon,0.5,
883,306,Aggron,Aggron (Mega Aggron),,,,Iron Armor Pokémon,0.5,Lairon
884,308,Medicham,Medicham (Mega Medicham),,,,Meditate Pokémon,0.5,Meditite
885,310,Manectric,Manectric (Mega Manectric),,,,Discharge Pokémon,0.5,Electrike
886,319,Sharpedo,Sharpedo (Mega Sharpedo),,"The spines sprouting from its head are transformed fangs. If they’re injured or broken off, the spines will regenerate countless times.","As a consequence of Mega Evolution, its combative instincts exploded. The yellow marks it bears are scars from a long history of battles.",Brutal Pokémon,0.5,Carvanha
887,323,Camerupt,Camerupt (Mega Camerupt),,,,Eruption Pokémon,0.5,Numel
888,334,Altaria,Altaria (Mega Altaria),,,,Humming Pokémon,0.5,Swablu
889,351,Castform,Castform (Sunny Form),,"This is the form Castform takes on the brightest of days. Its skin is unexpectedly hot to the touch, so approach with care.",This is Castform’s form when basking in fair weather. Its body is warm and toasty.,Weather Pokémon,0.5,
890,351,Castform,Castform (Rainy Form),,"This is the form Castform takes when soaked with rain. When its body is compressed, water will seep out as if from a sponge.",This is Castform’s form during a downpour of rain. Its body retains moisture and gets slippery.,Weather Pokémon,0.5,
891,351,Castform,Castform (Snowy Form),,"This is the form Castform takes when covered in snow. Its body becomes an ice-like material, with a temperature near 23 degrees Fahrenheit.",This is Castform’s form when caught in a hailstorm. Its cold skin is as smooth as ice.,Weather Pokémon,0.5,
892,354,Banette,Banette (Mega Banette),,,,Marionette Pokémon,0.5,Shuppet
893,359,Absol,Absol (Mega Absol),,"When this Pokémon whips the winglike fur on its back as though beating its wings, it sends an intimidating aura flying at its opponents.","As the energy of Mega Evolution fills it, its fur bristles. What you see on its back are not true wings, and this Pokémon isn’t able to fly.",Disaster Pokémon,0.5,
894,362,Glalie,Glalie (Mega Glalie),,"The excess energy from Mega Evolution spilled over from its mouth, breaking its jaw. It spews endless blizzards.","It envelops prey in its mouth, freezing them instantly. But its jaw is dislocated, so it’s unable to eat them.",Face Pokémon,0.5,Snorunt
895,373,Salamence,Salamence (Mega Salamence),,"Anyone standing in its path gets sliced right in two, while this Pokémon continues its flight without interruption.","Mega Evolution fuels its brutality, and it may even turn on the Trainer who raised it. It’s been dubbed “the blood-soaked crescent.”",Dragon Pokémon,0.5,Shelgon
896,376,Metagross,Metagross (Mega Metagross),,"This form results from one Metagross, one Metang, and two Beldum linking up.",Mega Evolution stimulated its brain. It emerged as a ruthless Pokémon that will clutch at any means of ensuring its victories.,Iron Leg Pokémon,,Metang
897,380,Latias,Latias (Mega Latias),,,,Eon Pokémon,,
898,381,Latios,Latios (Mega Latios),,,,Eon Pokémon,,
899,383,Kyogre,Kyogre (Primal Reversion),,,,Sea Basin Pokémon,,
900,382,Groudon,Groudon (Primal Reversion),,,,Continent Pokémon,,
901,384,Rayquaza,Rayquaza (Mega Rayquaza),,,,Sky High Pokémon,,
902,386,Deoxys,Deoxys (Attack Forme),,,,DNA Pokémon,,
903,386,Deoxys,Deoxys (Defense Forme),,,,DNA Pokémon,,
904,386,Deoxys,Deoxys (Speed Forme),,,,DNA Pokémon,,
905,412,Burmy,Burmy (Sandy Cloak),Overcoat,,,Bagworm Pokémon,0.5,
906,412,Burmy,Burmy (Trash Cloak),Overcoat,,,Bagworm Pokémon,0.5,
907,413,Wormadam,Wormadam (Sandy Cloak),Overcoat,,,Bagworm Pokémon,1.0,Burmy
908,413,Wormadam,Wormadam (Trash Cloak),Overcoat,,,Bagworm Pokémon,1.0,Burmy
909,421,Cherrim,Cherrim (Sunshine Form),,,,Blossom Pokémon,0.5,Cherubi
910,422,Shellos,Shellos (East Sea),Sand Force,"Shellos lives in the sea and feasts on plankton. The lovelier the ocean where Shellos resides, the more vibrant its color becomes.",The difference in color from one Shellos to another seems to be a result of their diet. No large changes can be seen in their capabilities.,Sea Slug Pokémon,0.5,
911,423,Gastrodon,Gastrodon (East Sea),Sand Force,A team of researchers is scouring the oceans of the world in search of a Gastrodon in a color never seen before.,Experiments are being conducted to discover what happens when a Gastrodon is raised in a location other than the sea where it was born.,Sea Slug Pokémon,0.5,Shellos (East Sea)
912,428,Lopunny,Lopunny (Mega Lopunny),,,,Rabbit Pokémon,0.5,Buneary
913,445,Garchomp,Garchomp (Mega Garchomp),,"Excess energy melted its arms and wings, transforming them into giant scythes.","Its vaunted wings become scythes, sending it mad with rage. It swings its scythes wildly and slices the ground to pieces.",Mach Pokémon,0.5,Gabite
914,448,Lucario,Lucario (Mega Lucario),,Black streaks all over its body show where its auras and the energy of Mega Evolution intermingled and raced through it.,It readies itself to face its enemies by focusing its mental energies. Its fighting style can be summed up in a single word: heartless.,Aura Pokémon,0.125,Riolu
915,460,Abomasnow,Abomasnow (Mega Abomasnow),,,,Frost Tree Pokémon,0.5,Snover
916,475,Gallade,Gallade (Mega Gallade),,,,Blade Pokémon,0.0,Kirlia
917,479,Rotom,Rotom (Heat Rotom),,,,Plasma Pokémon,,
918,479,Rotom,Rotom (Wash Rotom),,,,Plasma Pokémon,,
919,479,Rotom,Rotom (Frost Rotom),,,,Plasma Pokémon,,
920,479,Rotom,Rotom (Fan Rotom),,,,Plasma Pokémon,,
921,479,Rotom,Rotom (Mow Rotom),,,,Plasma Pokémon,,
922,487,Giratina,Giratina (Origin Forme),,,,Renegade Pokémon,,
923,492,Shaymin,Shaymin (Sky Forme),,,,Gratitude Pokémon,,
924,493,Arceus,Arceus (Fighting),,,,Alpha Pokémon,,
925,493,Arceus,Arceus (Flying),,,,Alpha Pokémon,,
926,493,Arceus,Arceus (Poison),,,,Alpha Pokémon,,
927,493,Arceus,Arceus (Ground),,,,Alpha Pokémon,,
928,493,Arceus,Arceus (Rock),,,,Alpha Pokémon,,
929,493,Arceus,Arceus (Bug),,,,Alpha Pokémon,,
930,493,Arceus,Arceus (Ghost),,,,Alpha Pokémon,,
931,493,Arceus,Arceus (Steel),,,,Alpha Pokémon,,
932,493,Arceus,Arceus (Fire),,,,Alpha Pokémon,,
933,493,Arceus,Arceus (Water),,,,Alpha Pokémon,,
934,493,Arceus,Arceus (Grass),,,,Alpha Pokémon,,
935,493,Arceus,Arceus (Electric),,,,Alpha Pokémon,,
936,493,Arceus,Arceus (Psychic),,,,Alpha Pokémon,,
937,493,Arceus,Arceus (Ice),,,,Alpha Pokémon,,
938,493,Arceus,Arceus (Dragon),,,,Alpha Pokémon,,
939,493,Arceus,Arceus (Dark),,,,Alpha Pokémon,,
940,493,Arceus,Arceus (Fairy),,,,Alpha Pokémon,,
941,531,Audino,Audino (Mega Audino),,,,Hearing Pokémon,0.5,
942,550,Basculin,Basculin (Blue-Striped Form),Mold Breaker,,,Hostile Pokémon,0.5,
943,555,Darmanitan,Darmanitan (Zen Mode),,,,Blazing Pokémon,0.5,Darumaka
944,585,Deerling,Deerling (Summer Form),Serene Grace,,,Season Pokémon,0.5,
945,585,Deerling,Deerling (Autumn Form),Serene Grace,,,Season Pokémon,0.5,
946,585,Deerling,Deerling (Winter Form),Serene Grace,,,Season Pokémon,0.5,
947,586,Sawsbuck,Sawsbuck (Summer Form),Serene Grace,,,Season Pokémon,0.5,Deerling
948,586,Sawsbuck,Sawsbuck (Autumn Form),Serene Grace,,,Season Pokémon,0.5,Deerling
949,586,Sawsbuck,Sawsbuck (Winter Form),Serene Grace,,,Season Pokémon,0.5,Deerling
950,641,Tornadus,Tornadus (Therian Forme),,,,Cyclone Pokémon,0.0,
951,642,Thundurus,Thundurus (Therian Forme),,,,Bolt Strike Pokémon,0.0,
952,645,Landorus,Landorus (Therian Forme),,,,Abundance Pokémon,0.0,
953,646,Kyurem,Kyurem (White Kyurem),,,,Boundary Pokémon,,
954,646,Kyurem,Kyurem (Black Kyurem),,,,Boundary Pokémon,,
955,647,Keldeo,Keldeo (Resolute Form),,,,Colt Pokémon,,
956,648,Meloetta,Meloetta (Pirouette Forme),,,,Melody Pokémon,,
957,649,Genesect,Genesect (Genesect),,,,Paleozoic Pokémon,,
958,649,Genesect,Genesect (Genesect),,,,Paleozoic Pokémon,,
959,649,Genesect,Genesect (Genesect),,,,Paleozoic Pokémon,,
960,649,Genesect,Genesect (Genesect),,,,Paleozoic Pokémon,,
961,658,Greninja,Greninja (Battle Bond),Battle Bond,,,Ninja Pokémon,0.0,
962,658,Greninja,Greninja (Ash-Greninja),Battle Bond,,,Ninja Pokémon,0.0,
963,666,Vivillon,Vivillon (Polar Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
964,666,Vivillon,Vivillon (Tundra Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
965,666,Vivillon,Vivillon (Continental Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
966,666,Vivillon,Vivillon (Garden Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
967,666,Vivillon,Vivillon (Elegant Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
968,666,Vivillon,Vivillon (Meadow Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
969,666,Vivillon,Vivillon (Modern Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
970,666,Vivillon,Vivillon (Marine Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
971,666,Vivillon,Vivillon (Archipelago Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
972,666,Vivillon,Vivillon (High Plains Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
973,666,Vivillon,Vivillon (Sandstorm Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
974,666,Vivillon,Vivillon (River Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
975,666,Vivillon,Vivillon (Monsoon Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
976,666,Vivillon,Vivillon (Savanna Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
977,666,Vivillon,Vivillon (Sun Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
978,666,Vivillon,Vivillon (Ocean Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
979,666,Vivillon,Vivillon (Jungle Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
980,666,Vivillon,Vivillon (Fancy Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
981,666,Vivillon,Vivillon (Poké Ball Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
982,669,Flabébé,Flabébé (Yellow Flower),Symbiosis,,,Single Bloom Pokémon,1.0,
983,669,Flabébé,Flabébé (Orange Flower),Symbiosis,,,Single Bloom Pokémon,1.0,
984,669,Flabébé,Flabébé (Blue Flower),Symbiosis,,,Single Bloom Pokémon,1.0,
985,669,Flabébé,Flabébé (White Flower),Symbiosis,,,Single Bloom Pokémon,1.0,
986,670,Floette,Floette (Yellow Flower),Symbiosis,,,Single Bloom Pokémon,1.0,Flabébé
987,670,Floette,Floette (Orange Flower),Symbiosis,,,Single Bloom Pokémon,1.0,Flabébé
988,670,Floette,Floette (Blue Flower),Symbiosis,,,Single Bloom Pokémon,1.0,Flabébé
989,670,Floette,Floette (White Flower),Symbiosis,,,Single Bloom Pokémon,1.0,Flabébé
990,670,Floette,Floette (Eternal Flower),,,,Single Bloom Pokémon,1.0,
991,671,Florges,Florges (Yellow Flower),Symbiosis,,,Garden Pokémon,1.0,Floette
992,671,Florges,Florges (Orange Flower),Symbiosis,,,Garden Pokémon,1.0,Floette
993,671,Florges,Florges (Blue Flower),Symbiosis,,,Garden Pokémon,1.0,Floette
994,671,Florges,Florges (White Flower),Symbiosis,,,Garden Pokémon,1.0,Floette
995,676,Furfrou,Furfrou (Heart Trim),,,,Poodle Pokémon,0.5,
996,676,Furfrou,Furfrou (Star Trim),,,,Poodle Pokémon,0.5,
997,676,Furfrou,Furfrou (Diamond Trim),,,,Poodle Pokémon,0.5,
998,676,Furfrou,Furfrou (Debutante Trim),,,,Poodle Pokémon,0.5,
999,676,Furfrou,Furfrou (Matron Trim),,,,Poodle Pokémon,0.5,
1000,676,Furfrou,Furfrou (Dandy Trim),,,,Poodle Pokémon,0.5,
1001,676,Furfrou,Furfrou (La Reine Trim),,,,Poodle Pokémon,0.5,
1002,676,Furfrou,Furfrou (Kabuki Trim),,,,Poodle Pokémon,0.5,
1003,676,Furfrou,Furfrou (Pharaoh Trim),,,,Poodle Pokémon,0.5,
